Region,sprouts,carrts,cauli,corn,crnbrd,fruit,beans,pasta,potato,rolls,squash,veges,yam,means
EN Cntrl,-1.05,-5.93,-0.27,3.43,-8.63,-8.12,-0.72,-7.00,2.09,4.92,-7.38,-3.34,-4.31,-2.79
ES Cntrl,-3.72,1.55,-0.31,6.38,4.08,13.80,15.75,16.02,-5.14,7.59,3.71,-6.98,12.19,4.99
Mid Atl,12.06,5.79,8.00,4.12,-1.73,-3.98,-8.30,-7.69,4.16,-6.81,12.62,1.49,1.90,1.66
Mtn,-1.59,1.59,0.52,-7.52,-0.10,4.92,3.86,-14.16,7.18,0.58,-5.52,8.00,-2.97,-0.40
New Eng,5.60,20.21,-1.97,-8.98,-6.31,-12.82,-11.75,-10.57,9.05,-5.36,38.64,-1.27,-4.56,0.76
Pacif,6.09,-2.16,4.61,-6.67,3.97,5.01,-7.13,-7.63,0.65,-3.76,-4.64,8.73,-1.00,-0.30
S Atl,-2.92,-1.59,-3.82,-1.69,1.62,-2.70,2.14,17.44,-8.16,-2.08,-2.45,-2.06,4.56,-0.13
WN Cntrl,-11.99,-8.34,-5.01,1.72,-7.59,3.44,12.76,-4.58,6.05,7.41,-14.90,-0.14,-19.90,-3.16
WS Cntrl,-11.51,-0.53,-5.71,5.14,15.51,13.38,5.90,2.05,-3.15,5.97,-8.31,-3.62,7.74,1.76
means,-1.00,1.18,-0.44,-0.45,0.09,1.44,1.39,-1.79,1.41,0.94,1.31,0.09,-0.71,0.27
