Region,sprouts,carrts,cauli,corn,crnbrd,fruit,beans,pasta,potato,rolls,squash,veges,yam,
EN Cntrl,15.17,19.31,8.97,52.41,15.86,13.79,71.03,14.48,87.59,84.83,10.34,17.93,62.07,
ES Cntrl,12.5,26.79,8.93,55.36,28.57,35.71,87.5,37.5,80.36,87.5,21.43,14.29,78.57,
Mid Atl,28.28,31.03,17.24,53.1,22.76,17.93,63.45,13.79,89.66,73.1,30.34,22.76,68.28,
Mtn,14.63,26.83,9.76,41.46,24.39,26.83,75.61,7.32,92.68,80.49,12.2,29.27,63.41,
New Eng,21.82,45.45,7.27,40,18.18,9.09,60,10.91,94.55,74.55,56.36,20,61.82,
Pacif,22.31,23.08,13.85,42.31,28.46,26.92,64.62,13.85,86.15,76.15,13.08,30,65.38,
S Atl,13.3,23.65,5.42,47.29,26.11,19.21,73.89,38.92,77.34,77.83,15.27,19.21,70.94,
WN Cntrl,4.23,16.9,4.23,50.7,16.9,25.35,84.51,16.9,91.55,87.32,2.82,21.13,46.48,
WS Cntrl,4.71,24.71,3.53,54.12,40,35.29,77.65,23.53,82.35,85.88,9.41,17.65,74.12,
Mean,16.22,25.24,9.24,48.98,24.49,21.91,71.75,21.48,85.5,79.91,17.72,21.27,66.38,
EN Cntrl,-1.05,-5.93,-0.27,3.43,-8.63,-8.12,-0.72,-7,2.09,4.92,-7.38,-3.34,-4.31,
ES Cntrl,-3.72,1.55,-0.31,6.38,4.08,13.8,15.75,16.02,-5.14,7.59,3.71,-6.98,12.19,
Mid Atl,12.06,5.79,8,4.12,-1.73,-3.98,-8.3,-7.69,4.16,-6.81,12.62,1.49,1.9,
Mtn,-1.59,1.59,0.52,-7.52,-0.1,4.92,3.86,-14.16,7.18,0.58,-5.52,8,-2.97,
New Eng,5.6,20.21,-1.97,-8.98,-6.31,-12.82,-11.75,-10.57,9.05,-5.36,38.64,-1.27,-4.56,
Pacif,6.09,-2.16,4.61,-6.67,3.97,5.01,-7.13,-7.63,0.65,-3.76,-4.64,8.73,-1,
S Atl,-2.92,-1.59,-3.82,-1.69,1.62,-2.7,2.14,17.44,-8.16,-2.08,-2.45,-2.06,4.56,
WN Cntrl,-11.99,-8.34,-5.01,1.72,-7.59,3.44,12.76,-4.58,6.05,7.41,-14.9,-0.14,-19.9,
WS Cntrl,-11.51,-0.53,-5.71,5.14,15.51,13.38,5.9,2.05,-3.15,5.97,-8.31,-3.62,7.74,
EN Cntrl,1.05,5.93,0.27,3.43,8.63,8.12,0.72,7,2.09,4.92,7.38,3.34,4.31,57.19
ES Cntrl,3.72,1.55,0.31,6.38,4.08,13.8,15.75,16.02,5.14,7.59,3.71,6.98,12.19,97.22
Mid Atl,12.06,5.79,8,4.12,1.73,3.98,8.3,7.69,4.16,6.81,12.62,1.49,1.9,78.65
Mtn,1.59,1.59,0.52,7.52,0.1,4.92,3.86,14.16,7.18,0.58,5.52,8,2.97,58.51
New Eng,5.6,20.21,1.97,8.98,6.31,12.82,11.75,10.57,9.05,5.36,38.64,1.27,4.56,137.09
Pacif,6.09,2.16,4.61,6.67,3.97,5.01,7.13,7.63,0.65,3.76,4.64,8.73,1,62.05
S Atl,2.92,1.59,3.82,1.69,1.62,2.7,2.14,17.44,8.16,2.08,2.45,2.06,4.56,53.23
WN Cntrl,11.99,8.34,5.01,1.72,7.59,3.44,12.76,4.58,6.05,7.41,14.9,0.14,19.9,103.83
WS Cntrl,11.51,0.53,5.71,5.14,15.51,13.38,5.9,2.05,3.15,5.97,8.31,3.62,7.74,88.52
